dataset,image_index,sigma_true,nu,sigma_hat_krishnan,psnr_diagnostic,ssim_diagnostic,lpips_diagnostic
CelebA,139,0.5,0.01,1.2388255596160889,30.43264044652053,0.7962668538093567,0.1784171611070633
CelebA,140,0.5,0.01,1.2459288835525513,29.021739126599368,0.8552596569061279,0.16911104321479797
CelebA,141,0.5,0.01,1.1811920404434204,30.62558119209214,0.908166229724884,0.07565180957317352
CelebA,142,0.5,0.01,1.2930675745010376,28.217804579459383,0.8507619500160217,0.1260319948196411
CelebA,143,0.5,0.01,1.301672339439392,30.091341690897004,0.8679657578468323,0.1151038408279419
CelebA,144,0.5,0.01,1.2453902959823608,28.029263472100645,0.8398158550262451,0.12707290053367615
CelebA,145,0.5,0.01,1.6594200134277344,26.996853184367783,0.774909257888794,0.22954028844833374
CelebA,146,0.5,0.01,1.3694121837615967,26.712441639081984,0.8229742646217346,0.16182145476341248
CelebA,147,0.5,0.01,1.329379677772522,29.156336855644483,0.8646748065948486,0.09508827328681946
CelebA,148,0.5,0.01,1.3188929557800293,31.621116577192183,0.8873226642608643,0.11694939434528351
CelebA,149,0.5,0.01,1.4296596050262451,27.822533864309328,0.8662009835243225,0.06814846396446228
CelebA,150,0.5,0.01,1.23856520652771,29.191514419108287,0.8900555968284607,0.13317805528640747
CelebA,151,0.5,0.01,1.5116956233978271,28.95959432403421,0.8748511672019958,0.09791509062051773
CelebA,152,0.5,0.01,1.5646206140518188,26.158142045355497,0.8007118701934814,0.11266133934259415
CelebA,153,0.5,0.01,1.3832546472549438,28.51770946151932,0.8686630129814148,0.09670606255531311
CelebA,154,0.5,0.01,1.192386507987976,28.600911194140185,0.8441235423088074,0.12934520840644836
CelebA,155,0.5,0.01,1.1053297519683838,30.99381010311134,0.8782846927642822,0.06377192586660385
CelebA,156,0.5,0.01,1.0841398239135742,24.980212699060637,0.6767804026603699,0.3222748041152954
CelebA,157,0.5,0.01,1.1873745918273926,29.447673468676104,0.850633442401886,0.18820416927337646
CelebA,158,0.5,0.01,1.4372234344482422,29.664063149283535,0.8701223731040955,0.10663469135761261
CelebA,159,0.5,0.01,1.5323786735534668,25.804155054834432,0.8248804211616516,0.17234988510608673
CelebA,160,0.5,0.01,1.0976362228393555,29.967239388058427,0.8639710545539856,0.17569009959697723
CelebA,161,0.5,0.01,1.3456767797470093,26.67939444243329,0.816667377948761,0.10691427439451218
CelebA,162,0.5,0.01,0.956167995929718,30.787547815373358,0.8398839831352234,0.1458589732646942
CelebA,163,0.5,0.01,1.2897018194198608,24.107386380517283,0.7813035845756531,0.17341914772987366
CelebA,164,0.5,0.01,1.3128713369369507,28.619033377038598,0.8163504600524902,0.12022055685520172
CelebA,165,0.5,0.01,1.4282126426696777,27.043021796805217,0.8621607422828674,0.09739109873771667
CelebA,166,0.5,0.01,1.5235377550125122,24.49157258674797,0.840467631816864,0.12314213067293167
CelebA,167,0.5,0.01,1.208553671836853,29.012698262057203,0.8532257080078125,0.07977727055549622
CelebA,168,0.5,0.01,1.3707566261291504,26.493711424459022,0.8280889391899109,0.1382426917552948
CelebA,169,0.5,0.01,1.2280452251434326,29.882702216954705,0.9010193943977356,0.08824573457241058
CelebA,170,0.5,0.01,1.2082602977752686,28.445254071174062,0.8356048464775085,0.19831326603889465
CelebA,171,0.5,0.01,1.2370597124099731,29.216269889512184,0.8374783396720886,0.154493510723114
CelebA,172,0.5,0.01,1.3353708982467651,30.56504163802802,0.8748727440834045,0.06206092983484268
CelebA,173,0.5,0.01,1.4246337413787842,29.185092201331535,0.8183178305625916,0.09352294355630875
CelebA,174,0.5,0.01,1.4733493328094482,26.61259159301399,0.8307097554206848,0.14291411638259888
CelebA,175,0.5,0.01,1.2208858728408813,27.45670684053913,0.8179523348808289,0.13789989054203033
CelebA,176,0.5,0.01,1.4713293313980103,24.801420616294493,0.7786703705787659,0.1502130776643753
CelebA,177,0.5,0.01,1.481632947921753,28.37556787321116,0.8488137125968933,0.1416730284690857
CelebA,178,0.5,0.01,1.4764217138290405,26.9021076510349,0.8533943295478821,0.09453471750020981
CelebA,179,0.5,0.01,1.3164410591125488,27.515938378789627,0.846808135509491,0.11576715111732483
CelebA,180,0.5,0.01,1.4595394134521484,27.594900435782563,0.8233318328857422,0.14209844172000885
CelebA,181,0.5,0.01,1.066821813583374,29.63150749333584,0.8093521595001221,0.15410980582237244
CelebA,182,0.5,0.01,1.097687840461731,27.161774734052223,0.815144956111908,0.16053025424480438
CelebA,183,0.5,0.01,0.9830754995346069,28.525568870275823,0.8226280808448792,0.219114288687706
CelebA,184,0.5,0.01,1.4012285470962524,27.05520098772587,0.8665480613708496,0.09406036138534546
CelebA,185,0.5,0.01,0.7152920961380005,28.997886867039302,0.7654803395271301,0.19825129210948944
CelebA,186,0.5,0.01,1.4562249183654785,29.41767642570567,0.8660175204277039,0.1264723837375641
CelebA,187,0.5,0.01,1.2151638269424438,30.66850983792669,0.899838924407959,0.09684132039546967
CelebA,188,0.5,0.01,1.3287254571914673,30.366891313339515,0.9005991816520691,0.07215094566345215
